locus_tag	ftype	length_bp	gene	EC_number	COG	product
PDJKFJDK_01459	CDS	183				hypothetical protein
PDJKFJDK_01460	CDS	1215				hypothetical protein
PDJKFJDK_01461	CDS	375	hspQ			Heat shock protein HspQ
PDJKFJDK_01462	CDS	1050	mcl	4.1.3.24	COG2301	Malyl-CoA/beta-methylmalyl-CoA/citramalyl-CoA lyase
PDJKFJDK_01463	CDS	1323				hypothetical protein
PDJKFJDK_01464	CDS	561				hypothetical protein
PDJKFJDK_01465	CDS	1098				hypothetical protein
PDJKFJDK_01466	CDS	831	mazG	3.6.1.8	COG1694	Nucleoside triphosphate pyrophosphohydrolase
PDJKFJDK_01467	CDS	168				hypothetical protein
PDJKFJDK_01468	CDS	423				hypothetical protein
PDJKFJDK_01469	CDS	186				hypothetical protein
PDJKFJDK_01470	CDS	1347	rimO	2.8.4.4	COG0621	Ribosomal protein S12 methylthiotransferase RimO
PDJKFJDK_01471	CDS	1404	pabB	2.6.1.85	COG0147	Aminodeoxychorismate synthase component 1
PDJKFJDK_01472	CDS	630	pabA	2.6.1.85	COG0512	Aminodeoxychorismate synthase component 2
PDJKFJDK_01473	CDS	858	pabC	4.1.3.38	COG0115	Aminodeoxychorismate lyase
PDJKFJDK_01474	CDS	627	pncA	3.5.1.19	COG1335	Nicotinamidase
PDJKFJDK_01475	CDS	972	qorA_1	1.6.5.5	COG0604	Quinone oxidoreductase 1
PDJKFJDK_01476	CDS	228				hypothetical protein
PDJKFJDK_01477	CDS	204				hypothetical protein
PDJKFJDK_01478	CDS	1236	ubiL_1	1.14.13.-	COG0654	Ubiquinone hydroxylase UbiL
PDJKFJDK_01479	CDS	453				hypothetical protein
PDJKFJDK_01480	CDS	852				hypothetical protein
PDJKFJDK_01481	CDS	762				hypothetical protein
PDJKFJDK_01482	CDS	2784				hypothetical protein
PDJKFJDK_01483	CDS	393				hypothetical protein
PDJKFJDK_01484	CDS	2076				hypothetical protein
PDJKFJDK_01485	CDS	699				hypothetical protein
PDJKFJDK_01486	CDS	474				hypothetical protein
PDJKFJDK_01487	CDS	1323				hypothetical protein
PDJKFJDK_01488	CDS	252				hypothetical protein
PDJKFJDK_01489	CDS	444				hypothetical protein
PDJKFJDK_01490	CDS	3102	uvrA_1		COG0178	UvrABC system protein A
PDJKFJDK_01491	CDS	942				hypothetical protein
PDJKFJDK_01492	CDS	780				hypothetical protein
PDJKFJDK_01493	CDS	525	sigK		COG1595	ECF RNA polymerase sigma factor SigK
PDJKFJDK_01494	CDS	975				hypothetical protein
PDJKFJDK_01495	CDS	1623				hypothetical protein
PDJKFJDK_01496	CDS	1473	trmFO	2.1.1.74	COG1206	Methylenetetrahydrofolate--tRNA-(uracil-5-)-methyltransferase TrmFO
PDJKFJDK_01497	CDS	1137	wbpI	5.1.3.23	COG0381	UDP-2,3-diacetamido-2,3-dideoxy-D-glucuronate 2-epimerase
PDJKFJDK_01498	CDS	1035	capD	5.1.3.2	COG1086	UDP-glucose 4-epimerase
PDJKFJDK_01499	CDS	846	rfbD	1.1.1.133	COG1091	dTDP-4-dehydrorhamnose reductase
PDJKFJDK_01500	CDS	732				hypothetical protein
PDJKFJDK_01501	CDS	975		5.1.3.2	COG1088	UDP-glucose 4-epimerase
PDJKFJDK_01502	CDS	717	cugP	2.7.7.9		UTP--glucose-1-phosphate uridylyltransferase
PDJKFJDK_01503	CDS	969	fcl_2	1.1.1.271		GDP-L-fucose synthase
PDJKFJDK_01504	CDS	2010	mshA_5	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
PDJKFJDK_01505	CDS	1584				hypothetical protein
PDJKFJDK_01506	CDS	1323				hypothetical protein
PDJKFJDK_01507	CDS	1266				hypothetical protein
PDJKFJDK_01508	CDS	435				hypothetical protein
PDJKFJDK_01509	CDS	432				IS256 family transposase ISMtsp13
PDJKFJDK_01510	CDS	708				IS256 family transposase ISMtsp13
PDJKFJDK_01511	CDS	1059				hypothetical protein
PDJKFJDK_01512	CDS	1215	mhpT			3-(3-hydroxy-phenyl)propionate transporter
PDJKFJDK_01513	CDS	2103	FCS1	6.2.1.34		Trans-feruloyl-CoA synthase FCS1
PDJKFJDK_01514	CDS	831		4.1.2.41		Hydroxycinnamoyl-CoA hydratase-lyase
PDJKFJDK_01515	CDS	1443	vdh	1.2.1.67		Vanillin dehydrogenase
PDJKFJDK_01516	CDS	969	yeaX	1.14.13.239	COG1018	Carnitine monooxygenase reductase subunit
PDJKFJDK_01517	CDS	1083	tsaM1	1.14.14.-		Toluene-4-sulfonate monooxygenase system iron-sulfur subunit TsaM1
PDJKFJDK_01518	CDS	912	rhaR_1			HTH-type transcriptional activator RhaR
PDJKFJDK_01519	CDS	474				hypothetical protein
PDJKFJDK_01520	CDS	1188	rutD_1	3.5.1.-		Putative aminoacrylate hydrolase RutD
PDJKFJDK_01521	CDS	1302	pcaB	5.5.1.2	COG0015	3-carboxy-cis,cis-muconate cycloisomerase
PDJKFJDK_01522	CDS	834	kce_1	2.3.1.247		3-keto-5-aminohexanoate cleavage enzyme
PDJKFJDK_01523	CDS	714	pcaG	1.13.11.3	COG3485	Protocatechuate 3,4-dioxygenase alpha chain
PDJKFJDK_01524	CDS	708	pcaH	1.13.11.3	COG3485	Protocatechuate 3,4-dioxygenase beta chain
PDJKFJDK_01525	CDS	585	pcaK		COG0477	4-hydroxybenzoate transporter PcaK
PDJKFJDK_01526	CDS	1245	pobA	1.14.13.2	COG0654	p-hydroxybenzoate hydroxylase
PDJKFJDK_01527	CDS	864	rhaR_2			HTH-type transcriptional activator RhaR
PDJKFJDK_01528	CDS	291				IS3 family transposase ISMch5
PDJKFJDK_01529	CDS	405				IS3 family transposase ISMch5
PDJKFJDK_01530	CDS	495				hypothetical protein
PDJKFJDK_01531	CDS	1176	intA		COG0582	Prophage integrase IntA
PDJKFJDK_01532	CDS	693				hypothetical protein
PDJKFJDK_01533	CDS	225				hypothetical protein
PDJKFJDK_01534	CDS	219				hypothetical protein
PDJKFJDK_01535	CDS	237				hypothetical protein
PDJKFJDK_01536	CDS	2556				hypothetical protein
PDJKFJDK_01537	CDS	873				hypothetical protein
PDJKFJDK_01538	CDS	750				hypothetical protein
PDJKFJDK_01539	CDS	447				hypothetical protein
PDJKFJDK_01540	CDS	1590				hypothetical protein
PDJKFJDK_01541	CDS	1017				hypothetical protein
PDJKFJDK_01542	CDS	225				hypothetical protein
PDJKFJDK_01543	CDS	234				hypothetical protein
PDJKFJDK_01544	CDS	264				hypothetical protein
PDJKFJDK_01545	CDS	780				hypothetical protein
PDJKFJDK_01546	CDS	663				hypothetical protein
PDJKFJDK_01547	CDS	252				hypothetical protein
PDJKFJDK_01548	CDS	3666				hypothetical protein
PDJKFJDK_01549	CDS	834				hypothetical protein
PDJKFJDK_01550	CDS	735				hypothetical protein
PDJKFJDK_01551	CDS	1077				hypothetical protein
PDJKFJDK_01552	tRNA	77				tRNA-Arg(acg)
PDJKFJDK_01553	tRNA	77				tRNA-Pro(cgg)
PDJKFJDK_01554	CDS	873	rpoH_1		COG0568	RNA polymerase sigma factor RpoH
PDJKFJDK_01555	CDS	591	carD		COG1329	RNA polymerase-binding transcription factor CarD
PDJKFJDK_01556	CDS	339	fdxA		COG1146	Ferredoxin-2
PDJKFJDK_01557	CDS	606				hypothetical protein
PDJKFJDK_01558	CDS	999	acuI	1.3.1.84	COG0604	Acrylyl-CoA reductase AcuI
PDJKFJDK_01559	CDS	465	greB			Transcription elongation factor GreB
PDJKFJDK_01560	CDS	945	prs	2.7.6.1	COG0462	Ribose-phosphate pyrophosphokinase
PDJKFJDK_01561	CDS	228				hypothetical protein
PDJKFJDK_01562	CDS	378				hypothetical protein
PDJKFJDK_01563	CDS	1572	xseA_1	3.1.11.6	COG1570	Exodeoxyribonuclease 7 large subunit
PDJKFJDK_01564	CDS	624				hypothetical protein
PDJKFJDK_01565	CDS	339				hypothetical protein
PDJKFJDK_01566	CDS	216				hypothetical protein
PDJKFJDK_01567	CDS	738				hypothetical protein
PDJKFJDK_01568	CDS	1308	purD	6.3.4.13	COG0151	Phosphoribosylamine--glycine ligase
PDJKFJDK_01569	CDS	528	tadA	3.5.4.33	COG0590	tRNA-specific adenosine deaminase
PDJKFJDK_01570	CDS	702		1.-.-.-		putative oxidoreductase
PDJKFJDK_01571	CDS	918		3.8.1.3	COG0596	Fluoroacetate dehalogenase
PDJKFJDK_01572	CDS	2142				hypothetical protein
PDJKFJDK_01573	CDS	177				hypothetical protein
PDJKFJDK_01574	CDS	1995				hypothetical protein
PDJKFJDK_01575	CDS	555	rsmD	2.1.1.171	COG0742	Ribosomal RNA small subunit methyltransferase D
PDJKFJDK_01576	CDS	930				hypothetical protein
PDJKFJDK_01577	CDS	738				hypothetical protein
PDJKFJDK_01578	CDS	1335				hypothetical protein
PDJKFJDK_01579	CDS	3231	mdtB_4		COG0841	Multidrug resistance protein MdtB
PDJKFJDK_01580	CDS	1287	mdtA_3			Multidrug resistance protein MdtA
PDJKFJDK_01581	CDS	600	sttH	3.5.2.19		Streptothricin hydrolase
PDJKFJDK_01582	CDS	228				hypothetical protein
PDJKFJDK_01583	CDS	1035	yajO_1	1.1.-.-	COG0667	1-deoxyxylulose-5-phosphate synthase YajO
PDJKFJDK_01584	CDS	213				hypothetical protein
PDJKFJDK_01585	CDS	237				hypothetical protein
PDJKFJDK_01586	CDS	1143	sfnC_1	1.14.14.-		putative FMNH2-dependent monooxygenase SfnC
PDJKFJDK_01587	CDS	597				hypothetical protein
PDJKFJDK_01588	CDS	729				hypothetical protein
PDJKFJDK_01589	CDS	744	yedY1_1		COG2041	Putative protein-methionine-sulfoxide reductase subunit YedZ1
PDJKFJDK_01590	CDS	774			COG1120	putative ABC transporter ATP-binding protein
PDJKFJDK_01591	CDS	1050			COG0609	putative ABC transporter permease protein
PDJKFJDK_01592	CDS	1050			COG0614	putative protein
PDJKFJDK_01593	CDS	876	ephA_1	3.3.2.10		Epoxide hydrolase A
PDJKFJDK_01594	CDS	1080				hypothetical protein
PDJKFJDK_01595	CDS	1674				hypothetical protein
PDJKFJDK_01596	CDS	666		1.11.1.15	COG0450	Peroxiredoxin
PDJKFJDK_01597	CDS	894	blh_1	3.-.-.-	COG0491	Beta-lactamase hydrolase-like protein
PDJKFJDK_01598	CDS	432				hypothetical protein
PDJKFJDK_01599	CDS	783			COG0730	putative membrane transporter protein
PDJKFJDK_01600	CDS	282				hypothetical protein
PDJKFJDK_01601	CDS	927				hypothetical protein
PDJKFJDK_01602	CDS	1422	appC	7.1.1.3	COG1271	Cytochrome bd-II ubiquinol oxidase subunit 1
PDJKFJDK_01603	CDS	1011	cydB_1	7.1.1.7	COG1294	Cytochrome bd-I ubiquinol oxidase subunit 2
PDJKFJDK_01604	CDS	180				hypothetical protein
PDJKFJDK_01605	CDS	618	hdhA	1.1.1.159		7-alpha-hydroxysteroid dehydrogenase
PDJKFJDK_01606	CDS	93				hypothetical protein
PDJKFJDK_01607	CDS	234				hypothetical protein
PDJKFJDK_01608	CDS	1329	bepF_3			Efflux pump periplasmic linker BepF
PDJKFJDK_01609	CDS	3132	bepG_1			Efflux pump membrane transporter BepG
PDJKFJDK_01610	CDS	1188	clcA_2		COG0038	H(+)/Cl(-) exchange transporter ClcA
PDJKFJDK_01611	CDS	822				IS3 family transposase ISMex1
PDJKFJDK_01612	CDS	1044	cysA_1	7.3.2.3	COG1118	Sulfate/thiosulfate import ATP-binding protein CysA
PDJKFJDK_01613	CDS	903	cysW		COG4208	Sulfate transport system permease protein CysW
PDJKFJDK_01614	CDS	855	cysT		COG0555	Sulfate transport system permease protein CysT
PDJKFJDK_01615	CDS	1050	sbp		COG1613	Sulfate-binding protein
PDJKFJDK_01616	CDS	147				hypothetical protein
PDJKFJDK_01617	CDS	294				hypothetical protein
PDJKFJDK_01618	CDS	114				hypothetical protein
PDJKFJDK_01619	CDS	951	pip	3.4.11.5		Proline iminopeptidase
PDJKFJDK_01620	CDS	372				hypothetical protein
PDJKFJDK_01621	CDS	420				hypothetical protein
PDJKFJDK_01622	CDS	636				hypothetical protein
PDJKFJDK_01623	CDS	1329	pao	1.4.3.24		Pseudooxynicotine oxidase
PDJKFJDK_01624	CDS	954	nanM	5.1.3.24		N-acetylneuraminate epimerase
PDJKFJDK_01625	CDS	726				hypothetical protein
PDJKFJDK_01626	CDS	255				hypothetical protein
PDJKFJDK_01627	CDS	102				hypothetical protein
PDJKFJDK_01628	tRNA	74				tRNA-Gly(tcc)
PDJKFJDK_01629	CDS	1131	pqsH	1.14.13.182		2-heptyl-3-hydroxy-4(1H)-quinolone synthase
PDJKFJDK_01630	CDS	2436	xpkA_1	4.1.2.9		Xylulose-5-phosphate phosphoketolase
PDJKFJDK_01631	CDS	1182	yhhJ		COG0842	Inner membrane transport permease YhhJ
PDJKFJDK_01632	CDS	2739	rbbA		COG0842	Ribosome-associated ATPase
PDJKFJDK_01633	CDS	1032				hypothetical protein
PDJKFJDK_01634	CDS	1203	ackA_1	2.7.2.1	COG0282	Acetate kinase
PDJKFJDK_01635	CDS	2388	treP_1	2.4.1.64		Alpha,alpha-trehalose phosphorylase
PDJKFJDK_01636	CDS	747	yvdM_1	5.4.2.6	COG0637	Beta-phosphoglucomutase
PDJKFJDK_01637	CDS	1416	mltG	4.2.2.-		Endolytic murein transglycosylase
PDJKFJDK_01638	CDS	1263	fabF_1	2.3.1.179	COG0304	3-oxoacyl-[acyl-carrier-protein] synthase 2
PDJKFJDK_01639	CDS	237	acpP		COG0236	Acyl carrier protein AcpP
PDJKFJDK_01640	CDS	741	fabG_3	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
PDJKFJDK_01641	CDS	933	fabD_1	2.3.1.39	COG0331	Malonyl CoA-acyl carrier protein transacylase
PDJKFJDK_01642	CDS	330				hypothetical protein
PDJKFJDK_01643	CDS	1185	kbl	2.3.1.29	COG0156	2-amino-3-ketobutyrate coenzyme A ligase
PDJKFJDK_01644	CDS	1074				hypothetical protein
PDJKFJDK_01645	CDS	165				hypothetical protein
PDJKFJDK_01646	CDS	1365	rsmB_1	2.1.1.176		Ribosomal RNA small subunit methyltransferase B
PDJKFJDK_01647	CDS	213				hypothetical protein
PDJKFJDK_01648	CDS	771	nadK_1	2.7.1.23	COG0061	NAD kinase
PDJKFJDK_01649	CDS	324	cutA		COG1324	Divalent-cation tolerance protein CutA
PDJKFJDK_01650	CDS	162				hypothetical protein
PDJKFJDK_01651	CDS	438				hypothetical protein
PDJKFJDK_01652	CDS	1479	zwf_3	1.1.1.49	COG0364	Glucose-6-phosphate 1-dehydrogenase
PDJKFJDK_01653	CDS	927	arcA	3.5.3.1		Arginase
PDJKFJDK_01654	CDS	2361	rcsC_8	2.7.13.3		Sensor histidine kinase RcsC
PDJKFJDK_01655	CDS	2637	pepN	3.4.11.2	COG0308	Aminopeptidase N
PDJKFJDK_01656	CDS	909				hypothetical protein
PDJKFJDK_01657	CDS	441	gloA_2	4.4.1.5	COG0346	Lactoylglutathione lyase
PDJKFJDK_01658	CDS	165				hypothetical protein
PDJKFJDK_01659	CDS	510				hypothetical protein
PDJKFJDK_01660	CDS	3678	rcsC_9	2.7.13.3		Sensor histidine kinase RcsC
PDJKFJDK_01661	CDS	1101				hypothetical protein
PDJKFJDK_01662	CDS	429	sufE		COG2166	Cysteine desulfuration protein SufE
PDJKFJDK_01663	CDS	843				hypothetical protein
PDJKFJDK_01664	CDS	195				hypothetical protein
PDJKFJDK_01665	CDS	465	ros_1		COG4957	Transcriptional regulatory protein ros
PDJKFJDK_01666	CDS	2148	dapb1	3.4.14.-		Dipeptidyl aminopeptidase BI
PDJKFJDK_01667	CDS	450				hypothetical protein
PDJKFJDK_01668	CDS	3342				hypothetical protein
PDJKFJDK_01669	CDS	402				hypothetical protein
PDJKFJDK_01670	CDS	762	fliP_1		COG1338	Flagellar biosynthetic protein FliP
PDJKFJDK_01671	CDS	831	fabI_2	1.3.1.9	COG0623	Enoyl-[acyl-carrier-protein] reductase [NADH] FabI
PDJKFJDK_01672	CDS	120				hypothetical protein
PDJKFJDK_01673	CDS	1227	fabB	2.3.1.41		3-oxoacyl-[acyl-carrier-protein] synthase 1
PDJKFJDK_01674	CDS	540	fabA	4.2.1.59	COG0764	3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase
PDJKFJDK_01675	CDS	501				hypothetical protein
PDJKFJDK_01676	CDS	594				hypothetical protein
PDJKFJDK_01677	CDS	1005	ghrB	1.1.1.79	COG1052	Glyoxylate/hydroxypyruvate reductase B
PDJKFJDK_01678	CDS	1014	ribF		COG0196	Bifunctional riboflavin kinase/FMN adenylyltransferase
PDJKFJDK_01679	CDS	384	cheY_2		COG0784	Chemotaxis protein CheY
PDJKFJDK_01680	CDS	537				hypothetical protein
PDJKFJDK_01681	CDS	228				hypothetical protein
PDJKFJDK_01682	CDS	1473				hypothetical protein
PDJKFJDK_01683	CDS	222				hypothetical protein
PDJKFJDK_01684	CDS	1674	fhs	6.3.4.3	COG2759	Formate--tetrahydrofolate ligase
PDJKFJDK_01685	CDS	2100	dcp	3.4.15.5	COG0339	Dipeptidyl carboxypeptidase
PDJKFJDK_01686	CDS	948				hypothetical protein
PDJKFJDK_01687	CDS	1092				hypothetical protein
PDJKFJDK_01688	CDS	648	ycaC	4.-.-.-	COG1335	putative hydrolase YcaC
PDJKFJDK_01689	CDS	711	yehW		COG1174	Glycine betaine uptake system permease protein YehW
PDJKFJDK_01690	CDS	1143	yehY		COG1174	Glycine betaine uptake system permease protein YehY
PDJKFJDK_01691	CDS	990	yehZ		COG1732	Glycine betaine-binding protein YehZ
PDJKFJDK_01692	CDS	390				hypothetical protein
PDJKFJDK_01693	CDS	387				hypothetical protein
PDJKFJDK_01694	CDS	951	rsmI	2.1.1.198		Ribosomal RNA small subunit methyltransferase I
PDJKFJDK_01695	CDS	1212				hypothetical protein
PDJKFJDK_01696	CDS	1179	hemW		COG0635	Heme chaperone HemW
PDJKFJDK_01697	CDS	636		3.6.1.66	COG0127	dITP/XTP pyrophosphatase
PDJKFJDK_01698	CDS	684	rph	2.7.7.56	COG0689	Ribonuclease PH
PDJKFJDK_01699	CDS	774				hypothetical protein
PDJKFJDK_01700	CDS	1068	hrcA		COG1420	Heat-inducible transcription repressor HrcA
PDJKFJDK_01701	CDS	960				hypothetical protein
PDJKFJDK_01702	CDS	3099	mdtB_5		COG0841	Multidrug resistance protein MdtB
PDJKFJDK_01703	CDS	1242	bepF_4			Efflux pump periplasmic linker BepF
PDJKFJDK_01704	CDS	636	betI			HTH-type transcriptional regulator BetI
PDJKFJDK_01705	CDS	315				hypothetical protein
PDJKFJDK_01706	CDS	594				hypothetical protein
PDJKFJDK_01707	CDS	579				hypothetical protein
PDJKFJDK_01708	CDS	240				hypothetical protein
PDJKFJDK_01709	CDS	1038				hypothetical protein
PDJKFJDK_01710	CDS	597	fdhB1		COG0437	Formate dehydrogenase iron-sulfur subunit
PDJKFJDK_01711	CDS	2943	napA	1.9.6.1		Periplasmic nitrate reductase
PDJKFJDK_01712	CDS	246				hypothetical protein
PDJKFJDK_01713	CDS	636	torD			Chaperone protein TorD
PDJKFJDK_01714	CDS	711				hypothetical protein
PDJKFJDK_01715	CDS	519				hypothetical protein
PDJKFJDK_01716	CDS	1011				hypothetical protein
PDJKFJDK_01717	CDS	567				hypothetical protein
PDJKFJDK_01718	CDS	759				hypothetical protein
PDJKFJDK_01719	CDS	1998	rsxB_2	7.-.-.-		Ion-translocating oxidoreductase complex subunit B
PDJKFJDK_01720	CDS	927	yadG		COG1131	putative ABC transporter ATP-binding protein YadG
PDJKFJDK_01721	CDS	780	yadH		COG0842	Inner membrane transport permease YadH
PDJKFJDK_01722	CDS	465				hypothetical protein
PDJKFJDK_01723	CDS	777	menH	4.2.99.20		2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase
PDJKFJDK_01724	CDS	924				hypothetical protein
PDJKFJDK_01725	CDS	765	sfsA		COG1489	Sugar fermentation stimulation protein A
PDJKFJDK_01726	CDS	738	cinA			Putative competence-damage inducible protein
PDJKFJDK_01727	CDS	888	yfdC		COG2116	Inner membrane protein YfdC
PDJKFJDK_01728	CDS	1119	dcd	3.5.4.13		dCTP deaminase, dUMP-forming
PDJKFJDK_01729	CDS	453				hypothetical protein
PDJKFJDK_01730	CDS	393	apaG		COG2967	Protein ApaG
PDJKFJDK_01731	CDS	1176	argE	3.5.1.16	COG0624	Acetylornithine deacetylase
PDJKFJDK_01732	CDS	921				hypothetical protein
PDJKFJDK_01733	CDS	105				hypothetical protein
PDJKFJDK_01734	CDS	384				hypothetical protein
PDJKFJDK_01735	CDS	204				hypothetical protein
PDJKFJDK_01736	CDS	912				hypothetical protein
PDJKFJDK_01737	CDS	342				hypothetical protein
PDJKFJDK_01738	CDS	156				hypothetical protein
PDJKFJDK_01739	CDS	1461	malT			HTH-type transcriptional regulator MalT
PDJKFJDK_01740	CDS	888				hypothetical protein
PDJKFJDK_01741	CDS	516	fecI_1		COG1595	putative RNA polymerase sigma factor FecI
PDJKFJDK_01742	CDS	981				hypothetical protein
PDJKFJDK_01743	CDS	1920				hypothetical protein
PDJKFJDK_01744	CDS	174				hypothetical protein
PDJKFJDK_01745	CDS	267				IS1182 family transposase ISMex36
PDJKFJDK_01746	CDS	438				IS1182 family transposase ISMex36
PDJKFJDK_01747	CDS	636	pta	2.3.1.8	COG0280	Phosphate acetyltransferase
PDJKFJDK_01748	CDS	360				hypothetical protein
PDJKFJDK_01749	CDS	309				hypothetical protein
PDJKFJDK_01750	CDS	726				hypothetical protein
PDJKFJDK_01751	CDS	360				hypothetical protein
PDJKFJDK_01752	CDS	843				hypothetical protein
PDJKFJDK_01753	CDS	714				hypothetical protein
PDJKFJDK_01754	CDS	1110				hypothetical protein
PDJKFJDK_01755	CDS	1743				hypothetical protein
PDJKFJDK_01756	tRNA	93				tRNA-Ser(gct)
PDJKFJDK_01757	CDS	783				hypothetical protein
PDJKFJDK_01758	CDS	1533	acsA_2	6.2.1.1	COG0365	Acetyl-coenzyme A synthetase
PDJKFJDK_01759	CDS	504				hypothetical protein
PDJKFJDK_01760	CDS	1098	yejB		COG4174	Inner membrane ABC transporter permease protein YejB
PDJKFJDK_01761	CDS	1875				hypothetical protein
PDJKFJDK_01762	CDS	1926				hypothetical protein
PDJKFJDK_01763	CDS	870				hypothetical protein
PDJKFJDK_01764	CDS	744	kdsB	2.7.7.38	COG1212	3-deoxy-manno-octulosonate cytidylyltransferase
PDJKFJDK_01765	CDS	858	pheA		COG0077	Bifunctional chorismate mutase/prephenate dehydratase
PDJKFJDK_01766	CDS	609	grpE_1			Protein GrpE
PDJKFJDK_01767	CDS	2787	glnD		COG2844	Bifunctional uridylyltransferase/uridylyl-removing enzyme
PDJKFJDK_01768	CDS	987	ssuA_1		COG0715	Putative aliphatic sulfonates-binding protein
PDJKFJDK_01769	CDS	633	rhtB_1		COG1280	Homoserine/homoserine lactone efflux protein
PDJKFJDK_01770	CDS	840	ssuC_1		COG0600	Putative aliphatic sulfonates transport permease protein SsuC
PDJKFJDK_01771	CDS	780	btuD_2	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
PDJKFJDK_01772	CDS	510				hypothetical protein
PDJKFJDK_01773	CDS	699	cusR		COG0745	Transcriptional regulatory protein CusR
PDJKFJDK_01774	CDS	1431	sasA_3	2.7.-.-		Adaptive-response sensory-kinase SasA
PDJKFJDK_01775	CDS	216				hypothetical protein
PDJKFJDK_01776	CDS	678				hypothetical protein
PDJKFJDK_01777	CDS	273				hypothetical protein
PDJKFJDK_01778	CDS	1473				hypothetical protein
PDJKFJDK_01779	CDS	2964	glnE		COG1391	Bifunctional glutamine synthetase adenylyltransferase/adenylyl-removing enzyme
PDJKFJDK_01780	CDS	894	dinG	3.1.-.-		3'-5' exonuclease DinG
PDJKFJDK_01781	CDS	741	aqpZ2			Aquaporin Z 2
PDJKFJDK_01782	CDS	717			COG1702	PhoH-like protein
PDJKFJDK_01783	CDS	2382	uvrD	3.6.4.12	COG0210	DNA helicase II
PDJKFJDK_01784	CDS	240				hypothetical protein
PDJKFJDK_01785	CDS	3537				hypothetical protein
PDJKFJDK_01786	CDS	3108	putA		COG0506	Bifunctional protein PutA
PDJKFJDK_01787	CDS	243				hypothetical protein
PDJKFJDK_01788	CDS	228				hypothetical protein
PDJKFJDK_01789	CDS	237				hypothetical protein
PDJKFJDK_01790	CDS	555	btuE	1.11.1.15		Thioredoxin/glutathione peroxidase BtuE
PDJKFJDK_01791	CDS	468				hypothetical protein
PDJKFJDK_01792	CDS	1245	argJ		COG1364	Arginine biosynthesis bifunctional protein ArgJ
PDJKFJDK_01793	CDS	723			COG2968	26 kDa periplasmic immunogenic protein
PDJKFJDK_01794	CDS	417	nudG	3.6.1.65	COG0494	CTP pyrophosphohydrolase
PDJKFJDK_01795	CDS	1545				hypothetical protein
PDJKFJDK_01796	CDS	747				hypothetical protein
PDJKFJDK_01797	CDS	840	egtC_1	3.5.1.118	COG0121	Gamma-glutamyl-hercynylcysteine sulfoxide hydrolase
PDJKFJDK_01798	CDS	1770	asnB	6.3.5.4	COG0367	Asparagine synthetase [glutamine-hydrolyzing] 1
PDJKFJDK_01799	CDS	645	gstB_1	2.5.1.18	COG0625	Glutathione S-transferase GST-6.0
PDJKFJDK_01800	CDS	543	ilvH	2.2.1.6	COG0440	Acetolactate synthase isozyme 3 small subunit
PDJKFJDK_01801	CDS	912				hypothetical protein
PDJKFJDK_01802	CDS	1776	ilvI	2.2.1.6	COG0028	Acetolactate synthase isozyme 3 large subunit
PDJKFJDK_01803	CDS	1497	selO_2	2.7.7.-	COG0397	Protein adenylyltransferase SelO
PDJKFJDK_01804	CDS	504	yciF_1		COG3685	Protein YciF
PDJKFJDK_01805	CDS	1335	ttuB			Putative tartrate transporter
PDJKFJDK_01806	CDS	1017				hypothetical protein
PDJKFJDK_01807	CDS	372				hypothetical protein
PDJKFJDK_01808	CDS	702	rspR_2		COG1802	HTH-type transcriptional repressor RspR
PDJKFJDK_01809	CDS	411				hypothetical protein
PDJKFJDK_01810	CDS	1191			COG0683	Leu/Ile/Val-binding protein 
PDJKFJDK_01811	CDS	870	livH_1		COG0559	High-affinity branched-chain amino acid transport system permease protein LivH
PDJKFJDK_01812	CDS	2472	btuD_3	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
PDJKFJDK_01813	CDS	939				hypothetical protein
PDJKFJDK_01814	CDS	1617	ywrD	2.3.2.2	COG0405	Glutathione hydrolase-like YwrD proenzyme
PDJKFJDK_01815	CDS	207				hypothetical protein
PDJKFJDK_01816	CDS	1116	algE1	5.1.3.37	COG2931	Mannuronan C5-epimerase AlgE1
PDJKFJDK_01817	CDS	159				hypothetical protein
PDJKFJDK_01818	tRNA	76				tRNA-Lys(ctt)
PDJKFJDK_01819	CDS	885	hemC	2.5.1.61	COG0181	Porphobilinogen deaminase
PDJKFJDK_01820	CDS	1062				hypothetical protein
PDJKFJDK_01821	CDS	1023				hypothetical protein
PDJKFJDK_01822	CDS	399				hypothetical protein
PDJKFJDK_01823	CDS	354				hypothetical protein
PDJKFJDK_01824	CDS	513	pal_1			Peptidoglycan-associated lipoprotein
PDJKFJDK_01825	CDS	1026	cpoB			Cell division coordinator CpoB
PDJKFJDK_01826	CDS	1029	tilS	6.3.4.19		tRNA(Ile)-lysidine synthase
PDJKFJDK_01827	CDS	1929	ftsH_4	3.4.24.-		ATP-dependent zinc metalloprotease FtsH
PDJKFJDK_01828	CDS	750				hypothetical protein
PDJKFJDK_01829	CDS	1341	glmM	5.4.2.10	COG1109	Phosphoglucosamine mutase
PDJKFJDK_01830	CDS	867				hypothetical protein
PDJKFJDK_01831	CDS	858				hypothetical protein
